<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20220830;5449.0000000;5450.0000000;5420.5000000;5450.0000000;70808
MGNT;D;20220831;5441.5000000;5509.0000000;5350.0000000;5490.5000000;160940
MGNT;D;20220901;5478.0000000;5490.0000000;5392.0000000;5399.0000000;96097
MGNT;D;20220902;5439.5000000;5485.5000000;5406.5000000;5485.5000000;68246
MGNT;D;20220905;5485.5000000;5600.0000000;5451.0000000;5600.0000000;87261
MGNT;D;20220906;5593.0000000;5597.5000000;5510.0000000;5510.0000000;146777
MGNT;D;20220907;5503.0000000;5544.5000000;5455.5000000;5490.0000000;86538
MGNT;D;20220908;5480.0000000;5490.0000000;5433.0000000;5433.0000000;94662
MGNT;D;20220909;5435.0000000;5499.0000000;5420.5000000;5499.0000000;59268
MGNT;D;20220912;5494.5000000;5630.5000000;5464.0000000;5575.0000000;122114
MGNT;D;20220913;5578.0000000;5629.0000000;5545.5000000;5594.0000000;106566
MGNT;D;20220914;5575.5000000;5593.0000000;5457.5000000;5558.0000000;133189
MGNT;D;20220915;5558.0000000;5570.0000000;5480.0000000;5555.5000000;142117
MGNT;D;20220916;5541.0000000;5620.0000000;5527.5000000;5582.0000000;100479
MGNT;D;20220919;5549.0000000;5570.0000000;5480.0000000;5505.0000000;72840
MGNT;D;20220920;5515.0000000;5515.0000000;5101.0000000;5222.5000000;473697
MGNT;D;20220921;4892.5000000;5100.0000000;4850.0000000;4904.5000000;316196
MGNT;D;20220922;4907.5000000;5085.0000000;4907.5000000;5015.0000000;185639
MGNT;D;20220923;5020.0000000;5055.0000000;4700.0000000;4889.0000000;270940
MGNT;D;20220926;4815.0000000;4866.0000000;4380.0000000;4474.0000000;335384
MGNT;D;20220927;4519.0000000;4650.0000000;4306.5000000;4481.5000000;205876
MGNT;D;20220928;4465.5000000;4780.0000000;4400.0000000;4750.0000000;170181
MGNT;D;20220929;4732.0000000;4732.5000000;4421.0000000;4537.5000000;181314
MGNT;D;20220930;4521.0000000;4745.0000000;4355.0000000;4722.0000000;222311
MGNT;D;20221003;4740.0000000;5030.0000000;4633.0000000;5008.0000000;265789
MGNT;D;20221004;4999.0000000;5019.5000000;4843.0000000;4906.5000000;158778
MGNT;D;20221005;4900.0000000;4907.0000000;4740.0000000;4784.5000000;235135
MGNT;D;20221006;4802.0000000;4846.5000000;4711.0000000;4719.5000000;107996
MGNT;D;20221007;4719.0000000;4719.0000000;4530.0000000;4546.0000000;118469
MGNT;D;20221010;4393.0000000;4690.0000000;4352.0000000;4645.0000000;165985
MGNT;D;20221011;4690.0000000;4849.0000000;4668.5000000;4838.0000000;173253
MGNT;D;20221012;4866.5000000;4910.0000000;4710.0000000;4772.0000000;132535
MGNT;D;20221013;4800.0000000;4804.0000000;4731.0000000;4772.5000000;82993
MGNT;D;20221014;4780.0000000;4845.0000000;4760.5000000;4810.0000000;93428
MGNT;D;20221017;4848.0000000;5064.5000000;4818.5000000;5060.5000000;199643
MGNT;D;20221018;5067.0000000;5124.5000000;4890.0000000;4918.5000000;156334
MGNT;D;20221019;4891.0000000;4999.0000000;4820.0000000;4961.0000000;212577
MGNT;D;20221020;4977.0000000;5058.5000000;4961.5000000;5011.5000000;114379
MGNT;D;20221021;5015.0000000;5188.0000000;4971.0000000;5164.0000000;132984
MGNT;D;20221024;5177.0000000;5256.0000000;5121.0000000;5196.5000000;107273
MGNT;D;20221025;5204.5000000;5350.0000000;5167.0000000;5315.0000000;153740
MGNT;D;20221026;5330.0000000;5369.5000000;5130.0000000;5270.0000000;160025
MGNT;D;20221027;5300.0000000;5320.0000000;5182.5000000;5247.0000000;198189
MGNT;D;20221028;5235.0000000;5291.5000000;5180.0000000;5269.0000000;132419
MGNT;D;20221031;5280.0000000;5302.0000000;5208.0000000;5237.0000000;92502
MGNT;D;20221101;5253.0000000;5265.0000000;5190.0000000;5249.5000000;75142
MGNT;D;20221102;5239.5000000;5270.0000000;5030.0000000;5170.0000000;87739
MGNT;D;20221103;5164.0000000;5196.0000000;5100.0000000;5183.0000000;90053
MGNT;D;20221107;5205.5000000;5259.0000000;5160.0000000;5208.5000000;127804
MGNT;D;20221108;5203.5000000;5203.5000000;5105.0000000;5165.0000000;159904
MGNT;D;20221109;5170.0000000;5170.0000000;5000.0000000;5027.5000000;156735
MGNT;D;20221110;5043.0000000;5059.5000000;4927.0000000;5031.5000000;215778
MGNT;D;20221111;5048.5000000;5050.0000000;4966.5000000;5005.0000000;114241
MGNT;D;20221114;5010.0000000;5049.5000000;4952.0000000;4974.5000000;124731
MGNT;D;20221115;4983.0000000;5025.0000000;4735.0000000;4888.0000000;368161
MGNT;D;20221116;4913.0000000;4970.0000000;4894.5000000;4945.5000000;130186
MGNT;D;20221117;4948.5000000;5090.0000000;4936.0000000;5011.5000000;314102
MGNT;D;20221118;5018.5000000;5024.5000000;4870.0000000;4918.5000000;283754
MGNT;D;20221121;4910.0000000;4920.0000000;4809.0000000;4856.0000000;168577
MGNT;D;20221122;4861.0000000;4911.5000000;4846.0000000;4887.5000000;77444
